State,StatusDate,CustomerType,CustomerCount,Company,Category
CO,10/24/2014,Commercial,702,West,Today
CO,10/24/2014,Commercial,1384,West,Today
CO,10/24/2014,Commercial,11,West,Today
CO,10/24/2014,Commercial,23,West,Today
CO,10/24/2014,Commercial,1,West,Today
CO,10/24/2014,Commercial,7,West,Today
CO,10/24/2014,Commercial,9,West,Today
CO,10/24/2014,Commercial,9,West,Today
CO,10/24/2014,Commercial,1302,West,Today
CO,10/24/2014,Commercial,7670,West,Today
CO,10/24/2014,Commercial,325,West,Today
CO,10/24/2014,Commercial,330,West,Today
CO,10/24/2014,Commercial,341,West,Today
CO,10/24/2014,Commercial,128,West,Today
CO,10/24/2014,Commercial,395,West,Today
CO,10/24/2014,Commercial,470,West,Today
CO,10/24/2014,Commercial,677,West,Today
CO,10/24/2014,Commercial,70,West,Today
CO,10/24/2014,Residential,815,West,Today
CO,10/24/2014,Residential,12399,West,Today
CO,10/24/2014,Residential,2,West,Today
CO,10/24/2014,Residential,50,West,Today
CO,10/24/2014,Residential,65,West,Today
CO,10/24/2014,Residential,2,West,Today
CO,10/24/2014,Residential,10,West,Today
CO,10/24/2014,Residential,96,West,Today
CO,10/24/2014,Residential,21,West,Today
CO,10/24/2014,Residential,1611,West,Today
CO,10/24/2014,Residential,27814,West,Today
CO,10/24/2014,Residential,771,West,Today
CO,10/24/2014,Residential,216,West,Today
CO,10/24/2014,Residential,690,West,Today
CO,10/24/2014,Residential,413,West,Today
CO,10/24/2014,Residential,662,West,Today
CO,10/24/2014,Residential,1241,West,Today
CO,10/24/2014,Residential,985,West,Today
CO,10/24/2014,Residential,74,West,Today
NJ,10/24/2014,Commercial,202,West,Today
NJ,10/24/2014,Commercial,111,West,Today
NJ,10/24/2014,Commercial,296,West,Today
NJ,10/24/2014,Commercial,167,West,Today
NJ,10/24/2014,Commercial,566,West,Today
NJ,10/24/2014,Commercial,1405,West,Today
NJ,10/24/2014,Residential,131,West,Today
NJ,10/24/2014,Residential,196,West,Today
NJ,10/24/2014,Residential,373,West,Today
NJ,10/24/2014,Residential,53,West,Today
NJ,10/24/2014,Residential,784,West,Today
NJ,10/24/2014,Residential,1460,West,Today
NJ,10/24/2014,Residential,166,West,Today
CA,10/24/2014,Commercial,26,West,Today
CA,10/24/2014,Commercial,142,West,Today
CA,10/24/2014,Commercial,248,West,Today
CA,10/24/2014,Commercial,129,West,Today
CA,10/24/2014,Commercial,181,West,Today
CA,10/24/2014,Commercial,194,West,Today
CA,10/24/2014,Commercial,84,West,Today
CA,10/24/2014,Commercial,325,West,Today
CA,10/24/2014,Residential,39,West,Today
CA,10/24/2014,Residential,126,West,Today
CA,10/24/2014,Residential,18,West,Today
CA,10/24/2014,Residential,169,West,Today
CA,10/24/2014,Residential,223,West,Today
CA,10/24/2014,Residential,343,West,Today
CA,10/24/2014,Residential,130,West,Today
CA,10/24/2014,Residential,877,West,Today
TX,10/24/2014,Commercial,8,West,Today
TX,10/24/2014,Commercial,23,West,Today
TX,10/24/2014,Commercial,352,West,Today
TX,10/24/2014,Commercial,1199,West,Today
TX,10/24/2014,Commercial,54,West,Today
TX,10/24/2014,Commercial,26,West,Today
TX,10/24/2014,Commercial,21,West,Today
TX,10/24/2014,Commercial,370,West,Today
TX,10/24/2014,Commercial,1125,West,Today
TX,10/24/2014,Commercial,91,West,Today
TX,10/24/2014,Residential,3,West,Today
TX,10/24/2014,Residential,17,West,Today
TX,10/24/2014,Residential,420,West,Today
TX,10/24/2014,Residential,3,East,Today
TX,10/24/2014,Residential,1994,West,Today
TX,10/24/2014,Residential,8,East,Today
TX,10/24/2014,Residential,62,West,Today
TX,10/24/2014,Residential,1648,West,Today
TX,10/24/2014,Residential,139,East,Today
TX,10/24/2014,Residential,947,West,Today
TX,10/24/2014,Residential,80,East,Today
TX,10/24/2014,Residential,8362,West,Today
TX,10/24/2014,Residential,1267,East,Today
TX,10/24/2014,Residential,11173,West,Today
TX,10/24/2014,Residential,903,East,Today
TX,10/24/2014,Residential,6,West,Today
TX,10/24/2014,Residential,2,East,Today
TX,10/24/2014,Residential,26,West,Today
TX,10/24/2014,Residential,266,East,Today
TX,10/24/2014,Residential,1070,West,Today
TX,10/24/2014,Residential,112,East,Today
TX,10/24/2014,SmallCommercial,1,East,Today
TX,10/24/2014,SmallCommercial,53,West,Today
TX,10/24/2014,SmallCommercial,3,East,Today
TX,10/24/2014,SmallCommercial,33,West,Today
TX,10/24/2014,SmallCommercial,4,East,Today
TX,10/24/2014,SmallCommercial,65,West,Today
TX,10/24/2014,SmallCommercial,48,East,Today
TX,10/24/2014,SmallCommercial,225,West,Today
TX,10/24/2014,SmallCommercial,32,East,Today
TX,10/24/2014,SmallCommercial,1,West,Today
TX,10/24/2014,SmallCommercial,5,East,Today
TX,10/24/2014,SmallCommercial,27,West,Today
FL,10/24/2014,Commercial,6331,West,Today
FL,10/24/2014,Commercial,541,West,Today
FL,10/24/2014,Commercial,630,West,Today
FL,10/24/2014,Commercial,319,West,Today
FL,10/24/2014,Commercial,43,West,Today
