RptName,TimeStart,Status,UserName
Report #14,11/4/2014,rsProcessingAborted,David
Report #13,11/4/2014,rsProcessingAborted,David
Report #14,11/4/2014,rsProcessingAborted,SQLSYSTEM
Report #11,11/4/2014,rsProcessingAborted,SQLSYSTEM
Report #1,11/4/2014,SP-Error,SQLSYSTEM
Report #11,11/4/2014,rsProcessingAborted,SQLSYSTEM
Report #12,11/4/2014,rsProcessingAborted,SQLSYSTEM
Report #13,11/4/2014,rsProcessingAborted,SQLSYSTEM
Report #13,11/4/2014,Done: 1 processed of 1 total; 1 errors.,NULL
Report #13,11/4/2014,rsProcessingAborted,SQLSYSTEM
Report #11,11/4/2014,rsProcessingAborted,SQLSYSTEM
Report #11,11/4/2014,Done: 1 processed of 1 total; 1 errors.,NULL
Report #13,11/4/2014,rsProcessingAborted,SQLSYSTEM
Report #14,11/3/2014,rsProcessingAborted,David
Report #14,11/3/2014,rsProcessingAborted,David
Report #14,11/3/2014,rsProcessingAborted,David
Report #12,11/3/2014,rsProcessingAborted,SQLSYSTEM
Report #12,11/3/2014,rsProcessingAborted,SQLSYSTEM
Report #12,11/3/2014,rsProcessingAborted,SQLSYSTEM
Report #12,11/3/2014,rsProcessingAborted,SQLSYSTEM
Report #8,11/3/2014,rsHttpRuntimeClientDisconnectionError,David
Report #12,11/3/2014,rsProcessingAborted,SQLSYSTEM
Report #12,11/3/2014,rsProcessingAborted,SQLSYSTEM
Report #12,11/3/2014,rsProcessingAborted,David
Report #12,11/3/2014,rsProcessingAborted,David
Report #12,11/3/2014,rsProcessingAborted,SQLSYSTEM
Report #12,11/3/2014,rsProcessingAborted,SQLSYSTEM
Report #14,11/3/2014,rsProcessingAborted,David
Report #14,11/3/2014,rsProcessingAborted,David
Report #12,11/3/2014,rsProcessingAborted,SQLSYSTEM
Report #12,11/3/2014,rsProcessingAborted,SQLSYSTEM
Report #11,11/3/2014,rsProcessingAborted,SQLSYSTEM
Report #1,11/3/2014,SP-Error,SQLSYSTEM
Report #12,11/3/2014,rsProcessingAborted,SQLSYSTEM
Report #12,11/3/2014,rsProcessingAborted,SQLSYSTEM
Report #11,11/3/2014,rsProcessingAborted,SQLSYSTEM
Report #14,11/3/2014,SP-Error,SQLSYSTEM
Report #14,11/3/2014,SP-Error,SQLSYSTEM
Report #2,11/2/2014,SP-Error,SQLSYSTEM
Report #11,11/2/2014,rsProcessingAborted,SQLSYSTEM
Report #11,11/2/2014,rsProcessingAborted,SQLSYSTEM
Report #1,11/2/2014,SP-Error,SQLSYSTEM
Report #11,11/2/2014,rsProcessingAborted,SQLSYSTEM
Report #11,11/1/2014,rsProcessingAborted,SQLSYSTEM
Report #11,11/1/2014,rsProcessingAborted,SQLSYSTEM
Report #1,11/1/2014,SP-Error,SQLSYSTEM
Report #12,11/1/2014,rsProcessingAborted,SQLSYSTEM
Report #11,11/1/2014,rsProcessingAborted,SQLSYSTEM
Report #13,10/31/2014,rsInternalError,Bob
Report #13,10/31/2014,rsInternalError,Bob
Report #11,10/31/2014,rsProcessingAborted,SQLSYSTEM
Report #11,10/31/2014,rsProcessingAborted,SQLSYSTEM
Report #1,10/31/2014,SP-Error,SQLSYSTEM
Report #11,10/31/2014,rsProcessingAborted,SQLSYSTEM
Report #10,10/30/2014,rsProcessingAborted,David
Report #11,10/30/2014,rsProcessingAborted,SQLSYSTEM
Report #11,10/30/2014,rsProcessingAborted,SQLSYSTEM
Report #1,10/30/2014,SP-Error,SQLSYSTEM
Report #11,10/30/2014,rsProcessingAborted,SQLSYSTEM
Report #8,10/29/2014,rsProcessingAborted,David
Report #14,10/29/2014,rsProcessingAborted,Bob
Report #14,10/29/2014,rsProcessingAborted,Bob
Report #14,10/29/2014,rsProcessingAborted,Bob
Report #14,10/29/2014,rsProcessingAborted,Bob
Report #3,10/29/2014,SP-Error,SQLSYSTEM
Report #3,10/29/2014,SP-Error,SQLSYSTEM
Report #3,10/29/2014,SP-Error,SQLSYSTEM
Report #3,10/29/2014,SP-Error,SQLSYSTEM
Report #11,10/29/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/29/2014,SP-Error,SQLSYSTEM
Report #3,10/29/2014,SP-Error,SQLSYSTEM
Report #3,10/29/2014,SP-Error,SQLSYSTEM
Report #8,10/29/2014,rsProcessingAborted,David
Report #3,10/29/2014,SP-Error,SQLSYSTEM
