date,task,hours,rate
3/4/2014,worked on project 1,1,47
3/4/2014,worked on project 2,3,47
3/4/2014,worked on project 3,2,47
3/4/2014,worked on project 4,2,47
3/5/2014,worked on project 5,4,47
3/5/2014,worked on project 6,2,47
3/5/2014,worked on project 7,2,47
3/6/2014,worked on project 8,6,47
3/6/2014,worked on project 9,2,47
3/7/2014,worked on project 10,4,47
3/7/2014,worked on project 11,4,47
3/10/2014,worked on project 12,8,47
3/11/2014,worked on project 13,8,47
3/12/2014,worked on project 14,7,47
3/12/2014,worked on project 15,1,47
3/13/2014,worked on project 16,3,47
3/13/2014,worked on project 17,5,47
3/14/2014,worked on project 18,2,47
3/14/2014,worked on project 19,6,47
3/17/2014,worked on project 20,8,47
3/18/2014,worked on project 21,8,47
3/19/2014,worked on project 22,4,47
3/19/2014,worked on project 23,4,47
3/20/2014,worked on project 24,8,47
3/21/2014,worked on project 25,6,47
3/21/2014,worked on project 26,2,47
3/24/2014,worked on project 27,7,47
3/25/2014,worked on project 28,3,47
3/25/2014,worked on project 29,5,47
3/26/2014,worked on project 30,8,47
3/27/2014,worked on project 31,2,47
3/27/2014,worked on project 32,6,47
3/28/2014,worked on project 33,3,47
3/28/2014,worked on project 34,5,47
3/31/2014,worked on project 35,8,47
4/1/2014,worked on project 36,2,47
4/1/2014,worked on project 37,1,47
4/1/2014,worked on project 38,1,47
4/1/2014,worked on project 39,2,47
4/1/2014,worked on project 40,2,47
4/2/2014,worked on project 41,4,47
4/2/2014,worked on project 42,4,47
4/3/2014,worked on project 43,2,47
4/3/2014,worked on project 44,6,47
4/4/2014,worked on project 45,6,47
4/4/2014,worked on project 46,2,47
4/7/2014,worked on project 47,6,47
4/7/2014,worked on project 48,2,47
4/8/2014,worked on project 49,3,47
4/8/2014,worked on project 50,3,47
4/10/2014,worked on project 51,4,47
4/10/2014,worked on project 52,4,47
4/11/2014,worked on project 53,6,47
4/11/2014,worked on project 54,2,47
4/14/2014,worked on project 55,5,47
4/15/2014,worked on project 56,8,47
4/16/2014,worked on project 57,4,47
4/16/2014,worked on project 58,4,47
4/17/2014,worked on project 59,4,47
4/17/2014,worked on project 60,3,47
4/17/2014,worked on project 61,1,47
4/18/2014,worked on project 62,3,47
4/18/2014,worked on project 63,3,47
4/18/2014,worked on project 64,2,47
4/21/2014,worked on project 65,8,47
4/22/2014,worked on project 66,4,47
4/22/2014,worked on project 67,4,47
4/23/2014,worked on project 68,6,47
4/24/2014,worked on project 69,2,47
4/24/2014,worked on project 70,3,47
4/24/2014,worked on project 71,3,47
4/25/2014,worked on project 72,3,47
4/25/2014,worked on project 73,5,47
4/28/2014,worked on project 74,1,47
4/28/2014,worked on project 75,2,47
4/28/2014,worked on project 76,3,47
4/28/2014,worked on project 77,2,47
4/29/2014,worked on project 78,3,47
4/30/2014,worked on project 79,3,47
4/30/2014,worked on project 80,2,47
4/30/2014,worked on project 81,3,47
5/1/2014,worked on project 82,8,47
5/2/2014,worked on project 83,2,47
5/2/2014,worked on project 84,3,47
5/2/2014,worked on project 85,3,47
5/5/2014,worked on project 86,6,47
5/5/2014,worked on project 87,2,47
5/6/2014,worked on project 88,6,47
5/6/2014,worked on project 89,2,47
5/8/2014,worked on project 90,8,47
5/9/2014,worked on project 91,8,47
5/12/2014,worked on project 92,8,47
5/13/2014,worked on project 93,8,47
5/14/2014,worked on project 94,4,47
5/14/2014,worked on project 95,4,47
5/15/2014,worked on project 96,5,47
5/15/2014,worked on project 97,3,47
5/16/2014,worked on project 98,4,47
5/16/2014,worked on project 99,4,47
5/20/2014,worked on project 100,8,47
5/21/2014,worked on project 101,4,47
5/21/2014,worked on project 102,2,47
5/21/2014,worked on project 103,2,47
5/22/2014,worked on project 104,4,47
5/22/2014,worked on project 105,4,47
5/23/2014,worked on project 106,4,47
5/23/2014,worked on project 107,4,47
5/28/2014,worked on project 108,5,47
6/3/2014,worked on project 109,5,47
6/3/2014,worked on project 110,3,47
6/4/2014,worked on project 111,2,47
6/4/2014,worked on project 112,2,47
6/4/2014,worked on project 113,2,47
6/4/2014,worked on project 114,2,47
6/5/2014,worked on project 115,8,47
6/6/2014,worked on project 116,5,47
6/6/2014,worked on project 117,3,47
6/9/2014,worked on project 118,8,47
6/10/2014,worked on project 119,4,47
6/10/2014,worked on project 120,4,47
6/11/2014,worked on project 121,4,47
6/11/2014,worked on project 122,4,47
6/12/2014,worked on project 123,8,47
6/13/2014,worked on project 124,4,47
6/13/2014,worked on project 125,4,47
6/16/2014,worked on project 126,6,47
